Destination,Dates,Price,Group,Period,Status,Regio
Santa Cruz de La Palma,"['12.04.2023', '26.04.2023']",147,kanaren,2023-04,2023-01-28,
Athen,"['28.09.2023', '09.10.2023']",146,black-friday,2023-09,2023-01-28,Europe
Riga,"['06.02.2023', '10.02.2023']",29,gutscheine,2023-02,2023-01-28,Europe
Catania,"['04.03.2023', '11.03.2023']",40,gutscheine,2023-03,2023-01-28,Europe Italy
Alicante,"['21.04.2023', '25.04.2023']",41,gutscheine,2023-04,2023-01-28,Europe Spain
Neapel,"['26.03.2023', '30.03.2023']",41,gutscheine,2023-03,2023-01-28,Europe Italy
Valencia,"['11.05.2023', '15.05.2023']",45,gutscheine,2023-05,2023-01-28,Europe Spain
Porto,"['06.05.2023', '13.05.2023']",49,gutscheine,2023-05,2023-01-28,Europe Spain
Malta,"['15.05.2023', '19.05.2023']",52,gutscheine,2023-05,2023-01-28,Europe
Korfu,"['28.04.2023', '12.05.2023']",63,gutscheine,2023-04,2023-01-28,Europe
Chania,"['29.03.2023', '02.04.2023']",74,gutscheine,2023-03,2023-01-28,Europe
Madrid,"['17.09.2023', '20.09.2023']",101,gutscheine,2023-09,2023-01-28,Europe Spain
Athen,"['15.10.2023', '23.10.2023']",136,gutscheine,2023-10,2023-01-28,Europe
Lissabon,"['20.10.2023', '26.10.2023']",145,gutscheine,2023-10,2023-01-28,Europe Spain
Chania,"['16.09.2023', '27.09.2023']",147,gutscheine,2023-09,2023-01-28,Europe
Kreta Heraklion,"['10.09.2023', '18.09.2023']",147,gutscheine,2023-09,2023-01-28,Europe
Bangkok,"['06.12.2023', '21.12.2023']",460,gutscheine,2023-12,2023-01-28,Asia
